drug1	drug2	DME	TWOSIDES condition name	PRR	PRR error	mean reporting freq	
sucralfate	diphenhydramine	gastric ulcer	gastric ulcer	5.0	0.863211	0.00884956	
repaglinide	caffeine	myocardial infarction	myocardial infarction	5.0	1.19635	0.0625	
melatonin	memantine	delirium	delirium	10.0	1.40306	0.0285714	
aspirin	nicardipine	myocardial infarction	acute myocardial infarction	3.33333	0.813685	0.00833333	
aspirin	nicardipine	myocardial infarction	myocardial infarction	1.17647	0.426252	0.025	
enalapril	aliskiren	myocardial infarction	acute myocardial infarction	2.14286	0.634331	0.00650759	
enalapril	aliskiren	myocardial infarction	myocardial infarction	1.04651	0.346919	0.0195228	
bromocriptine	clopidogrel	myocardial infarction	myocardial infarction	10.0	1.38969	0.0625	
desipramine	clopidogrel	myocardial infarction	myocardial infarction	20.0	1.19443	0.133333	
nicardipine	clopidogrel	myocardial infarction	acute myocardial infarction	3.33333	1.15193	0.00581395	
nicardipine	clopidogrel	myocardial infarction	myocardial infarction	0.909091	0.516074	0.0232558	
metoclopramide	clopidogrel	myocardial infarction	acute myocardial infarction	14.0909	0.276394	0.0371703	
metoclopramide	clopidogrel	myocardial infarction	myocardial infarction	1.97861	0.176226	0.0443645	
hydrochlorothiazide	lisdexamfetamine	myocardial infarction	myocardial infarction	3.33333	1.13923	0.0322581	
hydrochlorothiazide	nortriptyline	myocardial infarction	acute myocardial infarction	1.66667	1.07849	0.00320513	
hydrochlorothiazide	nortriptyline	myocardial infarction	myocardial infarction	1.38462	0.350671	0.0288462	
hydrochlorothiazide	nortriptyline	hypertension	hypertension	3.84615	0.297963	0.0480769	
aspirin	pergolide	myocardial infarction	myocardial infarction	5.0	0.849585	0.0512821	
hydrochlorothiazide	doxepin	hypertension	pulmonary hypertension	3.33333	0.813637	0.00847458	
hydrochlorothiazide	doxepin	hypertension	malignant hypertension	10.0	1.41256	0.00423729	
hydrochlorothiazide	doxepin	hypertension	hypertension	7.36842	0.345542	0.059322	
lidocaine	mirtazapine	neuropathy	diabetic neuropathy	3.33333	1.15205	0.00555556	
lidocaine	mirtazapine	neuropathy	polyneuropathy	5.0	1.22225	0.00555556	
lidocaine	mirtazapine	neuropathy	neuropathy peripheral	10.0	0.528775	0.0388889	
pramipexole	clopidogrel	myocardial infarction	acute myocardial infarction	5.0	0.863848	0.00684932	
pramipexole	clopidogrel	myocardial infarction	myocardial infarction	2.16667	0.299704	0.0445205	
maraviroc	clopidogrel	myocardial infarction	myocardial infarction	30.0	1.13063	0.15	
hyoscyamine	sucralfate	gastric ulcer	gastric ulcer	6.66667	0.906298	0.0217391	
hydrochlorothiazide	modafinil	hypertension	pulmonary arterial hypertension	10.0	0.998362	0.00595238	
hydrochlorothiazide	modafinil	hypertension	pulmonary hypertension	6.66667	0.911076	0.00595238	
hydrochlorothiazide	modafinil	hypertension	essential hypertension	10.0	1.41306	0.00297619	
hydrochlorothiazide	modafinil	hypertension	hypertension	4.87805	0.266677	0.0595238	
hydrochlorothiazide	modafinil	hypertension	gestational hypertension	5.0	1.22341	0.00297619	
ambrisentan	promethazine	hypertension	pulmonary arterial hypertension	30.0	1.14983	0.0306122	
ambrisentan	promethazine	hypertension	pulmonary hypertension	4.0	0.829925	0.0204082	
hydrochlorothiazide	diclofenac	myocardial infarction	acute myocardial infarction	2.5	0.455251	0.00588813	
hydrochlorothiazide	diclofenac	myocardial infarction	myocardial infarction	1.02439	0.226755	0.0206084	
cinacalcet	clonidine	pancreatitis	pancreatitis	1.17647	0.744367	0.00862069	
cinacalcet	clonidine	pancreatitis	pancreatitis acute	10.0	0.997626	0.00862069	
losartan	caffeine	myocardial infarction	myocardial infarction	2.5	0.542916	0.0645161	
pergolide	clopidogrel	myocardial infarction	myocardial infarction	10.0	1.38142	0.0833333	
cinacalcet	gabapentin	pancreatitis	pancreatitis	0.909091	1.04182	0.00502513	
cinacalcet	gabapentin	pancreatitis	pancreatitis acute	2.0	1.09292	0.00502513	
hydrochlorothiazide	terazosin	hypertension	pulmonary hypertension	1.53846	0.758424	0.00312012	
hydrochlorothiazide	terazosin	hypertension	essential hypertension	10.0	0.999142	0.00312012	
hydrochlorothiazide	terazosin	hypertension	hypertension	2.52632	0.224671	0.0374415	
hydrochlorothiazide	terazosin	hypertension	systolic hypertension	10.0	1.41361	0.00156006	
diphenhydramine	ambrisentan	hypertension	pulmonary arterial hypertension	10.0	1.41016	0.0104167	
diphenhydramine	ambrisentan	hypertension	pulmonary hypertension	20.0	1.22006	0.0208333	
diphenhydramine	ambrisentan	hypertension	essential hypertension	10.0	1.41016	0.0104167	
aspirin	olmesartan	edema	bone marrow oedema	10.0	1.41411	0.000267308	
aspirin	olmesartan	edema	lymphoedema	1.11111	1.05395	0.000267308	
aspirin	olmesartan	myocardial infarction	acute myocardial infarction	4.87805	0.192097	0.0106923	
aspirin	olmesartan	myocardial infarction	myocardial infarction	1.21827	0.106732	0.0256616	
aspirin	olmesartan	edema	oedema peripheral	2.74463	0.103866	0.0307404	
aspirin	olmesartan	edema	acute pulmonary oedema	2.66667	0.56247	0.00106923	
aspirin	olmesartan	edema	pulmonary oedema	2.15517	0.219833	0.00668271	
aspirin	olmesartan	edema	hereditary angioedema	1.11111	1.05395	0.000267308	
aspirin	olmesartan	edema	eye oedema	1.11111	1.05395	0.000267308	
aspirin	olmesartan	edema	conjunctival oedema	3.33333	1.15457	0.000267308	
aspirin	olmesartan	edema	corneal oedema	1.66667	1.07999	0.000267308	
aspirin	olmesartan	edema	eyelid oedema	1.02564	0.524735	0.00106923	
aspirin	olmesartan	edema	lip oedema	1.11111	1.05395	0.000267308	
aspirin	olmesartan	edema	oedema mouth	1.25	0.612132	0.000801925	
aspirin	olmesartan	edema	tongue oedema	0.666667	1.03265	0.000267308	
aspirin	olmesartan	edema	face oedema	0.666667	0.516113	0.00106923	
aspirin	olmesartan	edema	generalised oedema	2.25	0.368534	0.00240577	
aspirin	olmesartan	edema	oedema	2.35772	0.205715	0.00775194	
aspirin	olmesartan	edema	pitting oedema	4.0	0.836484	0.000534616	
aspirin	olmesartan	edema	gallbladder oedema	5.0	1.22462	0.000267308	
aspirin	olmesartan	edema	angioedema	0.7	0.390593	0.00187116	
aspirin	olmesartan	edema	laryngeal oedema	1.0	1.04867	0.000267308	
aspirin	olmesartan	edema	angioneurotic oedema	0.434783	1.02136	0.000267308	
aspirin	olmesartan	edema	brain oedema	0.277778	1.01365	0.000267308	
aspirin	olmesartan	edema	breast oedema	20.0	1.22462	0.000534616	
aspirin	olmesartan	edema	oedema genital	3.33333	1.15457	0.000267308	
aspirin	olmesartan	edema	nasal oedema	1.42857	1.06891	0.000267308	
aspirin	olmesartan	edema	pharyngeal oedema	1.01695	0.428161	0.00160385	
pindolol	clopidogrel	myocardial infarction	myocardial infarction	2.5	1.09818	0.04	
sucralfate	ibuprofen	gastric ulcer	gastric ulcer	6.66667	0.641348	0.0194175	
caffeine	naproxen	myocardial infarction	acute myocardial infarction	1.25	1.05916	0.00288184	
caffeine	naproxen	myocardial infarction	myocardial infarction	0.28169	0.714783	0.00576369	
aspirin	irbesartan	edema	lymphoedema	2.72727	0.651109	0.000816549	
aspirin	irbesartan	myocardial infarction	acute myocardial infarction	4.0566	0.179973	0.0117039	
aspirin	irbesartan	myocardial infarction	myocardial infarction	1.61039	0.0952041	0.0337507	
aspirin	irbesartan	myocardial infarction	silent myocardial infarction	2.0	1.09531	0.000272183	
aspirin	irbesartan	edema	localised oedema	1.81818	0.768511	0.000544366	
aspirin	irbesartan	edema	oedema peripheral	2.1513	0.114253	0.0247686	
aspirin	irbesartan	edema	acute pulmonary oedema	3.125	0.512055	0.00136091	
aspirin	irbesartan	edema	pulmonary oedema	2.21239	0.220341	0.00680457	
aspirin	irbesartan	edema	eyelid oedema	0.909091	0.521946	0.00108873	
aspirin	irbesartan	edema	periorbital oedema	0.833333	1.04069	0.000272183	
aspirin	irbesartan	edema	macular oedema	2.0	0.632219	0.000816549	
aspirin	irbesartan	edema	retinal oedema	1.42857	1.0689	0.000272183	
aspirin	irbesartan	edema	papilloedema	1.42857	0.755731	0.000544366	
aspirin	irbesartan	edema	lip oedema	0.769231	1.0376	0.000272183	
aspirin	irbesartan	edema	oedema mouth	1.0	0.741418	0.000544366	
aspirin	irbesartan	edema	tongue oedema	2.10526	0.549847	0.00108873	
aspirin	irbesartan	edema	face oedema	0.78125	0.464032	0.00136091	
aspirin	irbesartan	edema	generalised oedema	1.94444	0.412717	0.00190528	
aspirin	irbesartan	edema	oedema	2.9927	0.177173	0.0111595	
aspirin	irbesartan	edema	pitting oedema	5.0	0.865853	0.000544366	
aspirin	irbesartan	edema	angioedema	1.44578	0.308354	0.00326619	
aspirin	irbesartan	edema	laryngeal oedema	1.76471	0.625985	0.000816549	
aspirin	irbesartan	edema	angioneurotic oedema	2.4	0.454277	0.0016331	
aspirin	irbesartan	edema	brain oedema	0.37037	1.0182	0.000272183	
aspirin	irbesartan	edema	scrotal oedema	3.33333	1.15457	0.000272183	
aspirin	irbesartan	edema	pharyngeal oedema	1.88679	0.344338	0.00272183	
ibuprofen	caffeine	myocardial infarction	myocardial infarction	0.6	0.340794	0.0133929	
dronabinol	metoclopramide	myocardial infarction	myocardial infarction	0.30303	1.01113	0.00719424	
aspirin	imipramine	myocardial infarction	acute myocardial infarction	5.55556	0.554082	0.0186567	
aspirin	imipramine	myocardial infarction	myocardial infarction	1.15942	0.367951	0.0298507	
nortriptyline	clopidogrel	myocardial infarction	acute myocardial infarction	3.33333	0.811671	0.0142857	
nortriptyline	clopidogrel	myocardial infarction	myocardial infarction	5.66667	0.290344	0.121429	
