Drug Name	DrugBankID	Label DME	PathFX Phenotype	PathFX Phen. CUI	Corrected P-value	Network genes assoc to phen	
olaparib	DB09074	Peripheral neuropathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000115846933161	PARP1,GTF2H1,DDB2,CUL4B,XPC,PARP2,ERCC3,XPA,ERCC2,ERCC4,CYP3A4	
dronabinol	DB00470	Hypertension	Hypertension	C0020538	4.74537024392e-05	CYP2C9,LPAR1,GAL,NPY1R,AGTR2,GPER1,ADRA2B,POMC,HRH3,CXCL2,HTR1B,GNAI2,CCL28,BDKRB2,PYY,APP,NPY2R,CYP2A6,CYP1A1,SSTR4,PPBP,ADORA1,CCR2,LPAR2,CCR5,ANXA1,ABCB1,ACKR3,NPY,SUCNR1,APLNR,CXCL13,CCL21,CNR1,ADRA2A,BDKRB1,PTGS1,GABBR1,OPRD1,AGT,ADRA2C,CCR6,SST,FPR1,MGST3,CASR,KNG1,CYP2C19,SAA1,APLN,CXCR6,PDYN,CYP3A4,CXCL8,DRD3	
dronabinol	DB00470	Hypertension	genetic hypertension	C0598428	6.96244234571e-05	ADRA2B,SSTR4,LPAR2,ACKR3,AGT,CXCR6	
dronabinol	DB00470	Hypertension	Renovascular hypertension	C0020545	0.000100812650999	AGTR2,CXCL10,SUCNR1,CXCR3,PTGER3,PTGS1,AGT	
dronabinol	DB00470	Hypertension	Essential hypertension	C0085580	8.51722924596e-05	CYP2C9,LPAR1,AGTR2,ADRA2B,POMC,GNAI2,BDKRB2,ADORA1,LPAR2,ABCB1,NPY,APLNR,BDKRB1,AGT,KNG1	
dronabinol	DB00470	Hypertension	Primary pulmonary hypertension	C0152171	0.000108493490391	CYP2C9,HTR1B,BDKRB2,CCR7,CCR5,CCL5,APLNR,BDKRB1,CXCR4,CXCL12,KNG1,CCR1	
dronabinol	DB00470	Delirium	Cocaine delirium	C0011206	0.000290068336068	ABCG2,CYP3A4,CXCL8,DRD3	
prednisone	DB00635	Myopathy	Myofibrillar myopathy, BAG3-related	C2678065	6.13009922822e-05	GSN,TTN,LDB3,DMD,CFH,FN1	
prednisone	DB00635	Myocardial infarction	Myocardial Infarction	C0027051	8.73571691854e-05	F7,AHSG,APOA4,APOA2,KCNMA1,ATM,APOE,SERPING1,GSN,HP,SCN5A,APOC3,CYP3A4,CYP2C19,APOA1,ABCB1,NR3C1,APOC1,KRT16,CDCP1,CFH,CST3,ITGA2,GFAP,FN1	
prednisone	DB00635	Myocardial infarction	Acute myocardial infarction	C0155626	0.000162653645057	F7,APOE,HP,SCN5A,CYP2C19,APOA1,ABCB1,DMD,CST3,ITGA2	
prednisone	DB00635	Myopathy	Myopathy, scapulohumeroperoneal	C0026848	0.000111668443681	RYR2,ALB,APOE,SCN5A,TTN,CYP3A4,LDB3,TRAPPC11,DMD,TTR,CHKB,CFH,GFAP,OBSL1	
prednisone	DB00635	Hemorrhage	Brain Hemorrhage, Traumatic	C0553692	0.000168079616661	F7,APOA1,ITGA2	
prednisone	DB00635	Myopathy	Inclusion Body Myopathy, Sporadic	C0751713	0.000178080334771	APOE,TOMM40,TTR,CST3	
blinatumomab	DB09052	Pancreatitis	Pancreatitis	C0030305	0.000203508292825	HLA-DRB1,HLA-DQA1,HLA-DPB1,HLA-DQB1,AP2S1,TF,HLA-DQA2,CD4,PTPN22	
blinatumomab	DB09052	Agranulocytosis	Agranulocytosis	C0001824	0.000255145552346	HLA-DRB1,HLA-DRB4,HLA-DQB1,HLA-DQB2	
blinatumomab	DB09052	Thrombocytopenia	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	C0040034	0.000366438356164	HLA-DRB1,SCARB2,TFRC,CD19,HLA-DRB3,PTPN22,OCRL	
glycine	DB00145	Sepsis	Sepsis	C0243026	6.67573241722e-05	C3,KNG1,APP,CCR2,GRIN2A,S1PR3,ADRA2A,PNOC,DLD,GAL,CXCL8,FPR2,BAAT,C5AR1,AGT,POMC,CCL5,SST,CXCR4,CXCL2,CXCL12,SAA1,ALAS1,AGTR2,CXCR2,C3AR1,C5	
glycine	DB00145	Hypertension	Hypertension	C0020538	6.73029458376e-05	NPY1R,CCR6,APLNR,BDKRB1,NPY2R,APLN,KNG1,APP,CCR2,ADRA2B,ADRA2A,PPBP,AGXT2,GAL,ANXA1,NPY,PYY,ACKR3,CXCL8,CALM3,AGXT,CCL21,SLC6A9,GPER1,PDYN,AGT,DRD3,OPRD1,POMC,LPAR1,CCR5,GABBR1,ADRA2C,SST,CXCL13,HRH3,CXCR6,HTR1B,SSTR4,CXCL2,BDKRB2,GNAI2,SAA1,SUCNR1,FPR1,LPAR2,AGTR2,CCL28,CNR1,ADORA1,CASR	
glycine	DB00145	Hypertension	genetic hypertension	C0598428	8.97313774052e-05	ADRA2B,ACKR3,AGT,CXCR6,SSTR4,LPAR2	
glycine	DB00145	Hypertension	Essential hypertension	C0085580	8.01918108201e-05	APLNR,BDKRB1,KNG1,ADRA2B,NPY,CALM3,AGXT,AGT,POMC,LPAR1,BDKRB2,GNAI2,LPAR2,AGTR2,ADORA1	
glycine	DB00145	Hypertension	Renovascular hypertension	C0020545	0.000119879803891	CXCL10,AGT,PTGER3,CXCR3,SUCNR1,AGTR2	
glycine	DB00145	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.00010963182117	C3,CCR2,GAL,NPY,CCR7,AGT,CCR5,CCL5,SAA1,SHC1,AGTR2,CNR1	
sumatriptan	DB00669	Pneumonia	Pneumonia	C0032285	5.04049276396e-05	KNG1,NPW,CCR2,CXCR2,PTGDR2,CXCR4,CXCL13,CXCL9,CCR8,CCR6,LPAR1,C3AR1,CXCR3,CCR1,PF4,CCR3,C5AR1,CCL5,CCR9,CXCL5,CXCL8,C3,CCL20,LPAR2,ADORA3,POMC,CCL19,CXCL1,CXCL2,CXCL12	
sumatriptan	DB00669	Hypertension	Hypertension	C0020538	4.47481243301e-05	CASR,FPR1,KNG1,BDKRB2,CCR2,HTR1B,SST,NPY2R,NPY1R,GAL,ADRA2B,ADORA1,ANXA1,AGT,CXCL13,AGTR2,APLN,CCR6,LPAR1,SAA1,CNR1,SUCNR1,CCL28,CXCR6,CCL21,PPBP,CCR5,PYY,SLCO1A2,APLNR,CXCL8,ACKR3,LPAR2,PDYN,ADRA2C,BDKRB1,OPRD1,ABCB1,SSTR4,POMC,DRD3,APP,SLCO1B1,ADRA2A,GPER1,GNAI2,HRH3,CXCL2,NPY,GABBR1	
sumatriptan	DB00669	Hypertension	genetic hypertension	C0598428	6.15290269828e-05	ADRA2B,AGT,CXCR6,ACKR3,LPAR2,SSTR4	
sumatriptan	DB00669	Sepsis	Sepsis	C0243026	6.18930041152e-05	KNG1,CCR2,CXCR2,CXCR4,SST,GAL,AGT,AGTR2,PNOC,C3AR1,SAA1,S1PR3,FPR2,C5,C5AR1,CCL5,CXCL8,C3,POMC,APP,ADRA2A,CXCL2,CXCL12	
sumatriptan	DB00669	Myocardial infarction	Myocardial Infarction	C0027051	6.78311163606e-05	CASR,KNG1,BDKRB2,P2RY12,CCR2,CXCR5,ADRA2B,ADORA1,AGT,AGTR2,CNR1,HTR1D,GRM8,CXCL6,OPRK1,CCR1,CCR5,CCR3,ABCG2,CCL5,CXCL10,CXCL8,C3,BDKRB1,ADORA3,OPRD1,ABCB1,SLCO1B1,TAS2R50,NPY,CXCL12	
sumatriptan	DB00669	Hypertension	Renovascular hypertension	C0020545	9.12364945978e-05	AGT,AGTR2,CXCR3,SUCNR1,CXCL10,PTGER3	
sumatriptan	DB00669	Pneumonia	Pneumocystis jiroveci pneumonia	C1535939	0.000113026072193	CXCR4,CXCR6,CCR5,CXCL10,CXCL8,C3	
sumatriptan	DB00669	Pneumonia	Streptococcal pneumonia	C0155862	0.000139413034745	PPBP,CCL5,CXCL8,C3	
hydrocodone	DB00956	Pneumonia	Pneumonia	C0032285	5.03595112033e-05	CXCL5,CCR8,LPAR1,CCL19,CCL20,POMC,CCL5,CXCR4,ADORA3,CCR9,CCR6,CXCR3,PTGDR2,PF4,CXCR2,CCR2,CCR1,CXCL12,CXCL1,C3AR1,NPW,CXCL2,CCR3,C3,CXCL9,CXCL13,KNG1,C5AR1,CXCL8,LPAR2	
hydrocodone	DB00956	Hypertension	Hypertension	C0020538	5.01450476585e-05	GAL,CCR5,LPAR1,AGTR2,APP,PYY,POMC,HTR1B,SST,ANXA1,SUCNR1,GABBR1,NPY2R,APLNR,ADRA2A,NPY,CYP3A4,ADORA1,CCL28,GNAI2,PPBP,CCR6,NPY1R,GPER1,CCR2,ADRA2B,DRD3,APLN,SAA1,MGST3,CYP2D6,CXCL2,BDKRB2,AGT,OPRD1,ACKR3,CNR1,ADRA2C,FPR1,HRH3,CXCL13,CASR,CCL21,KNG1,PDYN,CXCL8,SSTR4,OPRM1,CXCR6,LPAR2,BDKRB1	
hydrocodone	DB00956	Hypertension	genetic hypertension	C0598428	8.60029571217e-05	ADRA2B,AGT,ACKR3,SSTR4,CXCR6,LPAR2	
hydrocodone	DB00956	Hypertension	Renovascular hypertension	C0020545	9.04604484572e-05	AGTR2,SUCNR1,CXCL10,CXCR3,PTGER3,AGT	
hydrocodone	DB00956	Hypertension	Primary pulmonary hypertension	C0152171	0.000158734619137	CCR5,CCL5,HTR1B,APLNR,CXCR4,CCR1,CXCL12,BDKRB2,KNG1,CCR7,BDKRB1	
hydrocodone	DB00956	Pneumonia	Pneumocystis jiroveci pneumonia	C1535939	0.000111445783133	CCR5,CXCR4,CXCL10,C3,CXCL8,CXCR6	
hydrocodone	DB00956	Pneumonia	Streptococcal pneumonia	C0155862	0.000156014580802	CCL5,PPBP,C3,CXCL8	
hydrocodone	DB00956	Hypertension	Pulmonary arterial hypertension	C3203102	0.000183112261404	CCR5,CCL5,HTR1B,APLNR,CXCR4,CCR6,CCR1,CXCL12,BDKRB2,KNG1,CCR7,BDKRB1	
hydrocodone	DB00956	Hepatic necrosis	Hepatic necrosis	C0151798	0.000191265060241	CYP3A4,CXCR2,CNR2,FPR1	
triptorelin	DB06825	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000161900369004	F2RL1,BDKRB2,TACR2,AGT,CYSLTR1,NPS,CASR,EDN1,TAC1,UTS2,TACR1,UTS2B,F2,EDNRA,HTR2B,EDNRB	
triptorelin	DB06825	Hypertension	Essential hypertension	C0085580	7.35272006863e-05	AVPR1A,P2RY2,BDKRB2,ADRA1D,ADRA1B,ADRA1A,TRHR,AGT,BDKRB1,PTGFR,LPAR2,EDN1,UTS2,LPAR1,EDN2,GCGR,KNG1,EDNRA	
triptorelin	DB06825	Hypertension	genetic hypertension	C0598428	7.3748308525e-05	ADRA1A,AGT,LPAR2,EDN1,CYSLTR2,EDNRA	
triptorelin	DB06825	Hypertension	Hypertension	C0020538	0.000166153846154	AVPR1A,PTGER1,P2RY2,BDKRB2,NTS,TAC3,ADRA1D,ADRA1B,GCG,ADRA1A,F2R,TRHR,TACR3,AGT,GHSR,BDKRB1,GHRL,TRH,EDN3,CHRM3,OXT,GNA14,CASR,APP,LPAR2,EDN1,SAA1,UTS2,UTS2R,KISS1,XCL1,TACR1,LPAR1,EDN2,CYSLTR2,F2,GCGR,GNRH1,OXTR,KNG1,EDNRA,HTR2B,EDNRB	
triptorelin	DB06825	Myocardial infarction	Myocardial Infarction	C0027051	0.000159843546284	AVPR1A,P2RY2,F2RL1,BDKRB2,ADRA1D,GCG,F2R,AGT,P2RY11,GHSR,BDKRB1,GHRL,CASR,EDN1,UTS2,UTS2R,EDN2,F2,KNG1,EDNRA,EDNRB	
triptorelin	DB06825	Hypertension	Primary pulmonary hypertension	C0152171	9.28362573099e-05	F2RL1,BDKRB2,F2R,BDKRB1,NPS,EDN1,KNG1,EDNRA,HTR2B,EDNRB	
triptorelin	DB06825	Hypertension	Pulmonary arterial hypertension	C3203102	0.00015	F2RL1,BDKRB2,F2R,BDKRB1,NPS,EDN1,KNG1,EDNRA,HTR2B,EDNRB	
triptorelin	DB06825	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000158477008471	BDKRB2,AGT,EDN1,UTS2B,EDNRA,EDNRB	
triptorelin	DB06825	Hypertension	Ocular Hypertension	C0028840	0.000222222222222	GHSR,PTGFR,EDNRB	
triptorelin	DB06825	Hemorrhage	Internal hemorrhage	C0333285	0.000266447368421	GNAQ,APP,GNA11,CYSLTR2,F2	
lisdexamfetamine	DB01255	Hypertension	Hypertension	C0020538	4.8980446586e-05	ALB,UTS2,F2R,LPAR1,OXTR,F2,ADRA1B,ADRA1A,HP,TAC3,APP,EDNRA,AVPR1A,GNRH1,P2RY2,GCGR,UTS2R,ADRA1D,KISS1,CST3,PTGER1,BDKRB1,LPAR2,HTR2B,BDKRB2,XCL1,KCNMA1,OXT,NTS,KNG1,EDNRB,TACR1,TRHR,TACR3,CHRM3,AGT,GNA14,EDN2,GCG,GHSR,SAA1,SLC6A3,GNA12,EDN1,EDN3,APOC1,CYSLTR2,APOE,GHRL,CASR,TRH	
lisdexamfetamine	DB01255	Myocardial infarction	Myocardial Infarction	C0027051	0.000110094909405	UTS2,F2R,F2,CDCP1,HP,GSN,EDNRA,AVPR1A,P2RY2,UTS2R,ADRA1D,CST3,AHSG,SERPING1,BDKRB1,BDKRB2,SCN5A,KCNMA1,TBXA2R,KNG1,EDNRB,P2RY11,F2RL1,GFAP,AGT,EDN2,GCG,GHSR,EDN1,APOC1,APOE,GHRL,CASR	
lisdexamfetamine	DB01255	Hypertension	Essential hypertension	C0085580	5.29765155653e-05	ALB,UTS2,LPAR1,ADRA1B,ADRA1A,HP,EDNRA,AVPR1A,P2RY2,GCGR,ADRA1D,BDKRB1,LPAR2,BDKRB2,KCNMA1,KNG1,TRHR,AGT,EDN2,PTGFR,EDN1,APOE	
lisdexamfetamine	DB01255	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	0.000136991869919	UTS2,F2,EDNRA,NPS,TACR2,HTR2B,TAC1,BDKRB2,EDNRB,TACR1,F2RL1,CYSLTR1,UTS2B,AGT,EDN1,APOE,CASR	
lisdexamfetamine	DB01255	Hypertension	genetic hypertension	C0598428	0.000179506486477	ADRA1A,EDNRA,LPAR2,AGT,EDN1,CYSLTR2	
lisdexamfetamine	DB01255	Hypertension	Primary pulmonary hypertension	C0152171	0.000109743861294	F2R,EDNRA,NPS,BDKRB1,HTR2B,BDKRB2,KNG1,EDNRB,F2RL1,EDN1	
lisdexamfetamine	DB01255	Myocardial infarction	Acute myocardial infarction	C0155626	0.000257528089888	F2,HP,EDNRA,CST3,SCN5A,P2RY11,AGT,GCG,EDN1,APOE	
lisdexamfetamine	DB01255	Hypertension	Portal hypertension, noncirrhotic	C0020541	0.000215286077694	EDNRA,BDKRB2,EDNRB,UTS2B,AGT,EDN1	
ceftriaxone	DB01212	Hemorrhage	Brain Hemorrhage, Traumatic	C0553692	0.000144538375079	ITGA2,APOA1,F7	
l-tyrosine	DB00135	Pulmonary edema	High altitude pulmonary edema	C0340100	0.000204939341421	TH	
l-tyrosine	DB00135	Edema	High altitude pulmonary edema	C0340100	0.000204939341421	TH	
sulfasalazine	DB00795	Sepsis	Sepsis	C0243026	5.66290415152e-05	TAB3,RELA,NFKB2,NOD1,PPARG,PTGS2,CARD11,NFKBIA,NOD2,PLA2G1B,IRAK1,TRAF6,NFKB1,ALOX5	
sulfasalazine	DB00795	Pneumonia	Pneumonia	C0032285	5.80602229246e-05	CHUK,NFKB2,TP53,PPARG,PTGS2,CARD11,NFKBIA,PLA2G1B,PTGS1,IKBKB,NFKB1,ALOX5	
sulfasalazine	DB00795	Pancreatitis	Pancreatitis, Acute Necrotizing	C0267941	0.000180451858924	TBXAS1,RELA,NFKBIA	
nortriptyline	DB00540	Myocardial infarction	Myocardial Infarction	C0027051	7.55813953488e-05	CCR5,OPRD1,GHSR,DAB2,AHSG,CCR2,ADORA1,SERPING1,APOB,CFH,UTS2R,VAMP8,TAS2R50,AVPR1A,GHRH,LDLRAP1,BDKRB1,EDNRA,PTGS1,KNG1,C3,APOC1,APOE,RLN2,CYP1A2,ADRA1D,EDN2,CXCL10,ADRB2,ADORA3,ADRA2B,CCR1,EDNRB,CYP2C9,GCG,P2RY2,F2RL1,ADRB3,CDCP1,CYP2D6,NPY,CASR,AGTR2,SLC6A4,CCL5,FN1,HTR1D,CYP2C19,GFAP,F2R,CYP3A4,APOA4,CHRM2,KCNMA1,APOA1,OPRK1,CXCL8,P2RY12,CCR3,GSN,P2RY11,PTGER2,CXCR5,RAMP1,CXCL6,GRM8,KRT16,CXCL12,CYP3A5,ADRB1,ATM,HTR2A,APOA2,ITGA2,CNR1,IGF2R,ADM,APOC3,AGT,GHRL,TBXA2R,UTS2,F2,BDKRB2,F7,EDN1,HP,LDLR,CST3,TF,SCN5A	
nortriptyline	DB00540	Hypertension	Essential hypertension	C0085580	8.27790374732e-05	ADORA1,APLNR,APOB,AVPR1A,BDKRB1,CALCA,EDNRA,KNG1,FSHR,APOE,ADRA1D,GNAS,EDN2,VIP,ADRB2,ADRA2B,CYP2C9,P2RY2,ADRB3,CYP2D6,NPY,PTGFR,AGTR2,KCNMA1,GNAI2,TRHR,ADRA1A,POMC,GCGR,CALCRL,CYP3A5,ADRB1,LPAR2,ATM,HTR2A,LPAR1,ALB,ADM,PTH,AGT,UTS2,BDKRB2,EDN1,DNM2,HP,LDLR,ADRA1B	
nortriptyline	DB00540	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	8.24298232586e-05	APLNR,HTR2B,CFH,RAMP2,CALCA,EDNRA,PTGS1,TACR1,NPS,APOE,VIP,EDNRB,HTR1B,F2RL1,CCR7,ADORA2B,NPY,CASR,SLC6A4,CCL5,TACR2,EGF,RYR2,APOA1,CYSLTR1,CXCL8,CXCR2,ADRB1,ADM,AGT,CXCR1,UTS2,TAC1,F2,BDKRB2,EDN1,DNM2,UTS2B	
nortriptyline	DB00540	Hypertension	genetic hypertension	C0598428	8.61655337865e-05	SSTR4,EDNRA,ADRA2B,PTHLH,ADRA1A,CXCR6,LPAR2,ACKR3,PTH,AGT,CYSLTR2,EDN1	
nortriptyline	DB00540	Myocardial infarction	Acute myocardial infarction	C0155626	0.000132705068567	APOB,EDNRA,CXCR4,APOE,ADRA2B,GCG,CYP2D6,PIK3C2A,SLC6A4,CYP2C19,CHRM2,APOA1,CXCL8,P2RY12,P2RY11,CXCL12,ADRB1,HTR2A,ITGA2,DMD,ADM,AGT,CCL21,F2,F7,EDN1,HP,CST3,SCN5A	
nortriptyline	DB00540	Hypertension	Renovascular hypertension	C0020545	0.00011989007214	AVPR1A,PTGS1,CXCL10,AGTR2,FN1,PTGER3,ADRB1,ATM,ADM,AGT,SUCNR1,CXCR3	
nortriptyline	DB00540	Myocardial infarction	Old myocardial infarction	C0155668	0.000209159481727	APOB,APOE,CYP2C9,APOA4,APOA1,F2	
nortriptyline	DB00540	Delirium	Cocaine delirium	C0011206	0.00025193578848	DRD2,APOE,DRD3,CYP3A4,CXCL8,CYP3A5	
chlorpromazine	DB00477	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000128689678054	APOE,CNR1,HTR6,MTNR1B,PDE4B,DRD2,MTNR1A,HTR2A,HTR2C,CYP1A2,DRD3,CYP3A4,DRD4,DRD1,CYP2D6,AKT1,F2R,HTR1F	
chlorpromazine	DB00477	Cardiac arrest	Cardiac arrest	C0018790	0.00020668440306	CXCL8,PDYN,APOE,RYR2,EDN1,CCL5,GNAS,SCN5A,CALM3,TTR,KCNH2,SCT,GNAI2,PPP3CA,ACTN2,AKT1,SPAST,POMC	
travoprost	DB00287	Hypertension	Ocular Hypertension	C0028840	0.000222222222222	PTGFR	
estrone	DB00655	Myocardial infarction	Myocardial Infarction	C0027051	6.83903029655e-05	SERPING1,ATM,CYP2C9,FN1,ITGA2,APOE,AHSG,HP,APOC3,CYP4A11,GFAP,APOA2,CDCP1,KRT16,ABCG2,ESR1,APOA4,GSN,APOC1,CYP2B6,CYP3A5,CFH,CYP1A1,SCN5A,ABCB1,CYP1A2,APOA1,KCNMA1,F7,SLCO1B1,CYP3A4,CST3	
estrone	DB00655	Pancreatitis	Pancreatitis, Alcoholic	C0376670	0.000297775442284	ATM,APOE,CYP1A1,ABCB1,CYP2E1	
estrone	DB00655	Myocardial infarction	Old myocardial infarction	C0155668	0.000115027110767	CYP2C9,APOE,APOA4,APOA1	
estrone	DB00655	Myocardial infarction	Acute myocardial infarction	C0155626	0.000141896024465	ITGA2,APOE,DMD,HP,ESR1,CYP2B6,SCN5A,ABCB1,APOA1,F7,CST3	
asenapine	DB06216	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000135265700483	DRD1,CNR1,CYP2D6,CYP1A2,F2R,DRD2,HTR2C,DRD3,MTNR1A,HTR6,ARRB2,CYP3A4,HTR2A,MTNR1B,HTR1F,DRD4	
