Drug Name	DrugBankID	False Positive DME	PathFX Phenotype	PathFX Phen. CUI	Corrected P-value	Network genes assoc to phen	
prednisone	DB00635	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000118042728514	HSD11B1,F7,ALB,APOA4,APOA2,SLC25A13,APOE,HP,APOC3,CYP3A4,APOC2,CYP2C19,APOA1,ABCB1,APOC1,CDCP1,NPHS1	
prednisone	DB00635	Hyperlipidemia	Hyperlipidemia, familial combined	C0020474	9.12899669239e-05	ALB,APOA4,APOA2,APOE,APOC3,APOA1,FN1	
prednisone	DB00635	Proteinuria	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	C0033687	9.11647980021e-05	ALB,APOE,HP,APOA1,CTSL,NR3C1,NPHS1,CFH,FN1	
blinatumomab	DB09052	Stevens-Johnson Syndrome	Stevens-Johnson Syndrome	C0038325	0.000284817351598	HLA-DRB1,HLA-DRB4,HLA-DQB1,HLA-DQB2,HLA-DRB5	
blinatumomab	DB09052	Myopathy	Inclusion Body Myopathy, Sporadic	C0751713	0.000204650656051	HLA-DRB1,HLA-DQB1,UBB,HLA-DRB3	
blinatumomab	DB09052	Proteinuria	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	C0033687	0.000212453619023	HLA-DRB1,HLA-DQA1,SCARB2,HLA-DPB1,LRP2,PTPN22,OCRL	
blinatumomab	DB09052	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.000378816033979	HLA-DRB1,AVP,HLA-DPB1,PIK3CA,PTPN22	
glycine	DB00145	Pneumonia	Pneumonia	C0032285	7.16993809631e-05	C3,CCR6,CCR3,NPW,KNG1,CCR2,CXCL9,CXCL5,CCL19,CXCL8,CCR1,ADORA3,C5AR1,CXCL1,CCR8,CCL20,POMC,LPAR1,CCL5,CXCL13,PF4,CXCR4,CXCL2,CXCL12,CXCR3,PTGDR2,CCR9,LPAR2,CXCR2,C3AR1	
glycine	DB00145	Myocardial infarction	Myocardial Infarction	C0027051	7.34480639213e-05	TAS2R50,C3,CCR3,BDKRB1,KNG1,CCR2,ADRA2B,GRM8,NPY,HTR1D,OPRK1,P2RY12,CXCL8,AGXT,CXCL10,CCR1,ADORA3,AGT,OPRD1,CCR5,CCL5,CXCR5,SOS1,BDKRB2,CXCL12,CXCL6,AGTR2,CNR1,ADORA1,CASR	
glycine	DB00145	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000128689678054	HTR1F,MTNR1B,DRD3,MTNR1A,CNR1,DRD4	
glycine	DB00145	Pneumonia	Pneumocystis jiroveci pneumonia	C1535939	0.000168050386487	C3,CXCL8,CXCL10,CCR5,CXCR4,CXCR6	
glycine	DB00145	Pneumonia	Streptococcal pneumonia	C0155862	0.000166745394426	C3,PPBP,CXCL8,CCL5	
glycine	DB00145	Cardiac arrest	Cardiac arrest	C0018790	0.00020668440306	GLYAT,CXCL8,CALM3,PDYN,POMC,CCL5,GNAI2,ACTN2	
sumatriptan	DB00669	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.00011717654323	DRD4,CNR1,MTNR1A,MAOA,HTR1F,DRD3,MTNR1B	
sumatriptan	DB00669	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000115944778123	CCR2,GAL,AGT,AGTR2,SAA1,CNR1,CCR5,CCL5,C3,ABCB1,SLCO1B1,CCR7,NPY	
osimertinib	DB09330	Gastric ulcer	Gastric ulcer	C0038358	0.000105209739584	EGF,SOS1,NRG1,IL2,FGFR2,FGF2,EGFR,PDGFA,MET,PDGFRA,ANGPT1,PDGFRB,FGFR1,HGF,TEK	
osimertinib	DB09330	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.000154221912073	APOB,ARTN,CSF2,SOS1,FGF2,DLG4,PIK3CA,CYP3A4,PSPN,ANGPT1,HBEGF,PIK3CB,HGF,GDNF,CALM3	
osimertinib	DB09330	Hemorrhage	Gastrointestinal hemorrhage	C0017181	0.000254739594683	JAK2,CSF2,KIT,KRAS,AVP,PIK3CA,PDGFRA,TEK	
osimertinib	DB09330	Cardiac arrest	Cardiac arrest	C0018790	0.000279202308843	APOB,LDLRAP1,FGFR3,TFRC,SPTBN2,FGFR2,KRAS,ACTN2,PIK3CA,CALM3	
hydrocodone	DB00956	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000127853783456	CYP3A4,MTNR1B,HTR1F,DRD3,CYP2D6,MTNR1A,CNR1,DRD4	
hydrocodone	DB00956	Sepsis	Sepsis	C0243026	7.25400106639e-05	GAL,AGTR2,PNOC,APP,POMC,CCL5,SST,ADRA2A,CXCR4,FPR2,CXCR2,CCR2,CXCL12,SAA1,C3AR1,CXCL2,AGT,C3,C5,KNG1,C5AR1,S1PR3,CXCL8	
hydrocodone	DB00956	Pancreatitis	Hereditary pancreatitis	C0238339	0.000112600303526	CXCL5,MGST1,CCL20,CXCR1,CCL28,CXCR4,GNAI2,CCR6,CXCL10,CXCR3,CXCR2,CXCL12,CXCL1,CASR,CXCL6,CXCL8	
hydrocodone	DB00956	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000114237855946	GAL,CCR5,AGTR2,CCL5,NPY,CYP3A4,CCR2,SAA1,CYP2D6,AGT,CNR1,C3,CCR7	
triptorelin	DB06825	Sepsis	Sepsis	C0243026	7.76647027317e-05	GRP,P2RY1,P2RY2,GRPR,NTS,ADRA1D,F2R,AGT,EDN3,APP,EDN1,SAA1,F2,LTB4R,KNG1,GAST,EDNRB	
triptorelin	DB06825	Pancreatitis	Hereditary pancreatitis	C0238339	0.000127749576988	F2RL1,NTS,TACR2,GCG,TACR3,NTSR1,CASR,EDN1,P2RY6,TAC1,TACR1,CCKBR,GAST	
triptorelin	DB06825	Gastric ulcer	Gastric ulcer	C0038358	0.00018991416309	BDKRB2,BDKRB1,GHRL,OXT,EDN1,OXTR,CCK,GAST	
triptorelin	DB06825	Pancreatitis	Pancreatitis	C0030305	0.000203779669763	BDKRB2,GHRL,CASR,EDN1,TACR1,CCK,EDNRA	
triptorelin	DB06825	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.000248062715307	PTGER1,P2RY2,F2RL3,F2R,AGT,F2,EDNRB	
lisdexamfetamine	DB01255	Pancreatitis	Hereditary pancreatitis	C0238339	0.000155854126679	ALB,NTSR1,TSC22D1,HP,CCKBR,P2RY6,PRSS3,TACR2,PLAG1,TAC1,KLK3,NTS,TACR1,F2RL1,TACR3,GAST,GCG,EDN1,APOE,CASR	
lisdexamfetamine	DB01255	Sepsis	Sepsis	C0243026	0.000101319462909	F2R,GRP,F2,GSN,APP,P2RY2,P2RY1,ADRA1D,SERPING1,NTS,KNG1,EDNRB,LTB4R,BBC3,AGT,GAST,SAA1,GRPR,EDN1,EDN3,APOC1,APOE	
lisdexamfetamine	DB01255	Edema	Cerebral edema	C0006114	0.000187000726216	F2R,F2,AVPR1A,GFAP,EDN1,SLC25A13,APOE	
lisdexamfetamine	DB01255	Gastric ulcer	Gastric ulcer	C0038358	0.00018669527897	OXTR,CCK,BDKRB1,BDKRB2,OXT,GAST,EDN1,GHRL	
lisdexamfetamine	DB01255	Pancreatitis	Pancreatitis	C0030305	0.000203508292825	ALB,CCK,EDNRA,CTSL,BDKRB2,TACR1,EDN1,NCOA3,SLC25A13,APOE,GHRL,CASR	
lisdexamfetamine	DB01255	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000172636176753	ALB,F2,CDCP1,HP,AGT,GCG,SAA1,SLC25A13,APOC1,APOE,TRH	
lisdexamfetamine	DB01255	Hemorrhage	Subarachnoid hemorrhage	C0038525	0.00029801553063	F2,HP,EDNRB,TACR1,GFAP,AGT,CAMTA1,EDN1,APOE,SLA2	
lisdexamfetamine	DB01255	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.000222585330428	F2R,F2,P2RY2,PTGER1,TBXA2R,EDNRB,GFAP,AGT,APOE,F2RL3	
lisdexamfetamine	DB01255	Cerebral infarction	Infarction, Middle Cerebral Artery	C0740392	0.000189802915563	AGT,GHSR,EDN1,APOE,GHRL	
lisdexamfetamine	DB01255	Pancreatitis	Acute pancreatitis	C0001339	0.000305263157895	PRSS3,TAC1,AGT,EDN1,APOE	
ceftriaxone	DB01212	Myopathy	Myofibrillar myopathy, BAG3-related	C2678065	0.000328378578742	CFH,DMD,FN1,TTN,GSN,LDB3	
ceftriaxone	DB01212	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000115944778123	NPHS1,CDCP1,APOE,APOA4,APOA2,APOC2,APOA1,HP,APOC3,F7,APOC1,SLC25A13,ALB	
ceftriaxone	DB01212	Myocardial infarction	Myocardial Infarction	C0027051	6.78311163606e-05	KCNMA1,KRT16,CDCP1,APOE,ITGA2,APOA4,GFAP,CST3,APOA2,ATM,APOA1,HP,APOC3,AHSG,CFH,SERPING1,F7,SCN5A,FN1,APOC1,GSN	
ceftriaxone	DB01212	Hyperlipidemia	Hyperlipidemia, familial combined	C0020474	5.93358737071e-05	APOE,APOA4,APOA2,APOA1,APOC3,FN1,ALB	
ceftriaxone	DB01212	Myopathy	Myopathy, scapulohumeroperoneal	C0026848	8.02939575395e-05	APOE,RYR2,TTR,GFAP,TRAPPC11,OBSL1,CHKB,CFH,DMD,SCN5A,TTN,LDB3,ALB	
ceftriaxone	DB01212	Hypertension	Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis	C0740394	0.000155297532656	APOE,APOA4,APOA1,SLC22A11,APOC3	
ceftriaxone	DB01212	Proteinuria	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	C0033687	0.000195210449927	NPHS1,APOE,CTSL,APOA1,HP,CFH,FN1,ALB	
ceftriaxone	DB01212	Myocardial infarction	Acute myocardial infarction	C0155626	0.000148792270531	APOE,ITGA2,CST3,APOA1,HP,DMD,F7,SCN5A	
ceftriaxone	DB01212	Myopathy	Inclusion Body Myopathy, Sporadic	C0751713	0.000185514403292	APOE,TOMM40,TTR,CST3	
ceftriaxone	DB01212	Myocardial infarction	Old myocardial infarction	C0155668	0.000149765104945	APOE,APOA4,APOA1	
ceftriaxone	DB01212	Myopathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000189881437302	SACS,SLC22A8,APOE,TTR,GFAP,GJC2,TLN2,ATM,NLRC4,SPAST,SERPING1,SETX,GSN,LDB3	
ceftriaxone	DB01212	Peripheral neuropathy	Peripheral neuropathy, myopathy, hoarseness, and hearing loss	C0031117	0.000189881437302	SACS,SLC22A8,APOE,TTR,GFAP,GJC2,TLN2,ATM,NLRC4,SPAST,SERPING1,SETX,GSN,LDB3	
ceftriaxone	DB01212	Peripheral neuropathy	Peripheral axonal neuropathy	C1263857	1	TTR,GJC2,SERPING1,SETX	
l-tyrosine	DB00135	Myopathy	Myopathy, mitochondrial progressive, with congenital cataract, hearing loss, and developmental delay	C0162670	0.000303680981595	YARS2	
sertraline	DB01104	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000114504300689	CYP2D6,SLC6A4,MAOA,CYP3A4,CYP1A2,MAOB,SLC6A3,CYP2B6	
sulfasalazine	DB00795	Hemorrhage	Cerebral Hemorrhage	C2937358	0.000183853070595	CHUK,RELA,NFKB2,PTGS2,NFKBIA,IRAK1,NFKB1,ALOX5,NCOR2	
nortriptyline	DB00540	Pancreatitis	Hereditary pancreatitis	C0238339	6.41254988303e-05	APOC2,NTSR1,CCR6,CXCR4,TACR1,APOE,CXCL5,CXCL10,ADRB2,GCG,P2RY6,TACR3,F2RL1,CYP2E1,CASR,CXCL1,PTHLH,TACR2,EGF,EGFR,SYT1,GNAI2,NTS,CXCL8,CXCR2,TSC22D1,ADCYAP1,CXCL6,CCKBR,CXCL12,GIP,ALB,ADM,CXCR1,KLK3,MGST1,TAC1,PRSS3,CCL28,GAST,EDN1,PLAG1,CCL20,CFB,HP,SCT,CXCR3	
nortriptyline	DB00540	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000125193998965	PDE4B,DRD2,ARRB2,APOE,CYP1A2,MTNR1A,HTR6,HTR2C,CYP2D6,SLC6A4,DRD4,DRD3,F2R,CYP3A4,CYP3A5,HTR2A,CNR1,MTNR1B,HTR1F	
nortriptyline	DB00540	Sepsis	Sepsis	C0243026	6.94661255073e-05	BBC3,CRH,CCR2,SERPING1,CFH,GRPR,C5AR1,GRP,CALCA,C5,CXCR4,KNG1,C3,APOC1,APOE,FPR2,CYP1A2,ADRA1D,EDN3,S1PR3,ADRB2,EDNRB,P2RY2,LTB4R,CYP2E1,AGTR2,TTN,WNT5A,CCL5,FN1,C3AR1,AAK1,SAA1,F2R,SYT1,APOA1,NTS,GAL,TFRC,CXCL8,GSN,POMC,APP,CXCR2,CXCL2,CXCL12,ADM,AGT,P2RY1,SST,F2,GAST,ADRA2A,F7,EDN1,GRAP2,CFB,PNOC	
nortriptyline	DB00540	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.000127439196041	APOC2,CCR5,NPHS1,CCR2,APOB,SLC25A13,LDLRAP1,PTGS1,FSHR,C3,APOC1,APOE,ADRB2,CYP2C9,GCG,ADRB3,CDCP1,CCR7,CYP2D6,NPY,AGTR2,CCL5,CYP2C19,SAA1,CYP3A4,APOA4,APOA1,GAL,CYP3A5,ADRB1,APOA2,CNR1,ALB,TRH,ADM,PTH,APOC3,AGT,F2,F7,HP,LRP2,LDLR	
nortriptyline	DB00540	Gastric ulcer	Gastric ulcer	C0038358	0.000100182574262	BDKRB1,PTGS1,CYP2C9,CCK,ADRB3,CYP2D6,FN1,CYP2C19,EGF,EGFR,HRH3,CXCL8,IAPP,OXTR,ADM,GHRL,SST,GAST,BDKRB2,EDN1,OXT	
nortriptyline	DB00540	Pancreatitis	Pancreatitis	C0030305	0.000121406961748	APOC2,PPY,SLC25A13,CALCA,EDNRA,TACR1,APOE,CTSL,CCR1,CCK,NCOA3,CYP2E1,CASR,CCL5,PTHLH,AP2S1,CXCL8,CD4,HTR2A,CNR1,ALB,GHRL,SST,BDKRB2,EDN1,SCT,CNR2,TF	
nortriptyline	DB00540	Cerebral infarction	Ischaemic cerebral infarction	C0007785	0.000119057041787	ADORA1,APOB,RAMP2,CXCR4,APOE,EDNRB,P2RY2,PTGER1,NPY,CCL5,GFAP,F2R,CYP3A4,APOA1,CXCL8,ANXA1,RAMP1,PTGDR,CXCL12,ATM,ADM,AGT,TBXA2R,F2,F2RL3,F7,LDLR	
nortriptyline	DB00540	Hemorrhage	Subarachnoid hemorrhage	C0038525	0.000159439754413	ADORA1,CALCA,TACR1,APOE,RXFP1,ADRB2,EDNRB,HTR1B,TTR,CXCL1,VIPR2,GFAP,CYP3A4,BIN1,CXCL12,ADRB1,CAMTA1,ITGA2,AGT,SLA2,F2,EDN1,CCL20,DNAJC6,HP	
nortriptyline	DB00540	Myopathy	Inclusion Body Myopathy, Sporadic	C0751713	0.000167232761067	APOE,CXCL10,UBB,TTR,CXCL11,TOMM40,CXCL9,CST3,CXCR3	
nortriptyline	DB00540	Cerebral infarction	Infarction, Middle Cerebral Artery	C0740392	0.000181666666667	GHSR,CRH,ADORA1,C3,APOE,CXCL2,AGT,GHRL,EDN1,CXCR3	
nortriptyline	DB00540	Ventricular tachycardia	Ventricular tachycardia, catecholaminergic polymorphic, 2	C0042514	0.000206270627063	ADRB2,RYR2,GNAI2,ADRB1,AGT,EDN1,SCN5A	
nortriptyline	DB00540	Hemorrhage	Brain Hemorrhage, Traumatic	C0553692	0.000220324057767	GNAS,APOA1,ITGA2,F2,F7	
nortriptyline	DB00540	Hyperlipidemia	Hyperlipidemia, familial combined	C0020474	0.0002068683565	APOB,C3,APOE,FN1,APOA4,APOA1,APOA2,ALB,APOC3,LDLR	
rasagiline	DB01367	Tardive dyskinesia	Tardive Dyskinesia	C0686347	0.000105433388043	MAOB,CYP1A2	
rasagiline	DB01367	Sepsis	Severe Sepsis	C1719672	0.000394418005732	BID,BCL2	
hydroxocobalamin	DB00200	Thrombocytopenia	Thrombocytopenia, platelet dysfunction, hemolysis, and imbalanced globin synthesis	C0040034	0.000145858298758	MUT,TCN2,MMAB,MMAA,MMACHC	
hydroxocobalamin	DB00200	Deep vein thrombosis	Deep vein thrombosis of lower limb	C0340708	0.000210803689065	MTRR,MTR	
chlorpromazine	DB00477	Pancreatitis	Hereditary pancreatitis	C0238339	6.00414947432e-05	CXCL8,NTSR1,CCKBR,SOS1,APOE,F2RL1,EDN1,TSC22D1,CXCL10,MGST1,CYP2E1,PRSS3,CCR6,CXCR2,ADM,NFATC1,APOC2,TACR2,GCG,CFB,CXCL12,PTHLH,CXCL5,CXCL6,GIP,TACR3,CXCR1,CXCR3,NTS,P2RY6,CCL28,GAST,SCT,GNAI2,CCL20,TAC1,ABCB1,ALB,KLK3,CXCL1,PLAG1,ADCYAP1,TACR1,CASR,CXCR4,HRAS,HP	
chlorpromazine	DB00477	Hypertension	genetic hypertension	C0598428	8.97313774052e-05	EDN1,SSTR4,EDNRA,CYSLTR2,ADRA2B,PTHLH,PPP3R1,ADRA1A,ACKR3,CXCR6,PTH,AGT,LPAR2	
chlorpromazine	DB00477	Myocardial infarction	Myocardial Infarction	C0027051	7.34480639213e-05	APOC1,CXCL8,APOC3,GHRL,CCR5,ADRB1,SOS1,KNG1,RLN2,ADORA1,APOE,F2RL1,SERPING1,EDN1,KRT16,C3,CXCL10,F7,UTS2,CAV1,CNR1,CFH,KCNMA1,RAMP1,FN1,AVPR1A,ADORA3,ADM,CCR2,GRM8,EDNRA,P2RY11,GCG,CCL5,CDCP1,PTGER2,APOA2,CXCL12,AHSG,ADRA2B,SCN5A,CXCL6,ADRB3,F2,ITGA2,OPRK1,UTS2R,HTR2A,APOA4,BDKRB2,CYP1A2,NPY,CYP3A4,CXCR5,ATM,GHSR,BDKRB1,P2RY12,TAS2R50,GFAP,P2RY2,AGT,OPRD1,CST3,EDN2,AGTR2,GHRH,CCR1,GSN,APOA1,HTR1D,CYP2D6,EDNRB,ABCB1,TBXA2R,AKT1,F2R,ADRA1D,CASR,CCR3,HP	
chlorpromazine	DB00477	Hypertension	Pulmonary hypertension, neonatal, susceptibility to	C0020542	7.87425606592e-05	CXCL8,ADRB1,APOE,F2RL1,RYR2,EDN1,UTS2,CAV1,CXCR2,CFH,ADM,EDNRA,TACR2,CCL5,APLNR,CALCA,NPS,F2,CXCR1,BDKRB2,CALM3,HTR1B,NPY,RAMP2,CCR7,ADORA2B,AGT,HTR2B,VIP,APOA1,CYSLTR1,TAC1,EDNRB,UTS2B,AKT1,TACR1,CASR,NFATC3	
chlorpromazine	DB00477	Hypertension	Essential hypertension	C0085580	8.01918108201e-05	ADRB1,KNG1,ADORA1,TRHR,APOE,EDN1,UTS2,KCNMA1,AVPR1A,ADM,EDNRA,GNAS,LPAR1,APLNR,CALCA,GCGR,ADRA2B,PTGFR,ADRB3,MYLK,ADRA1A,HTR2A,BDKRB2,CALM3,PTH,NPY,FSHR,KCNH2,CALCRL,ATM,ADRA1B,BDKRB1,GNAI2,P2RY2,AGT,EDN2,AGTR2,DRD1,VIP,LPAR2,CYP2D6,ABCB1,ALB,ADRA1D,POMC,HP	
chlorpromazine	DB00477	Hyperlipidemia	Hyperlipidemia, combined, 1	C0020473	0.00010963182117	TRH,APOC1,APOC3,CCR5,ADRB1,APOE,C3,F7,CAV1,CNR1,NPHS1,ADM,CCR2,APOC2,SAA1,GCG,CCL5,CDCP1,APOA2,ADRB3,F2,APOA4,SMPD1,PTH,NPY,CYP3A4,FSHR,CCR7,AGT,AGTR2,APOA1,CYP2D6,SLC25A13,ABCB1,SHC1,ALB,GAL,HP	
chlorpromazine	DB00477	Myocardial infarction	Acute myocardial infarction	C0155626	0.000128809655181	CXCL8,ADRB1,SOS1,APOE,EDN1,DMD,F7,ADM,EDNRA,P2RY11,GCG,CXCL12,ADRA2B,SCN5A,F2,ITGA2,HTR2A,KCNH2,P2RY12,AGT,CST3,APOA1,CYP2D6,ABCB1,CCL21,CXCR4,HP	
chlorpromazine	DB00477	Pancreatitis	Pancreatitis	C0030305	0.000109659599797	CXCL8,PPY,GHRL,APOE,EDN1,CYP2E1,CAV1,CNR1,EDNRA,APOC2,CCL5,CCK,CALCA,PTHLH,NCOA3,SST,HTR2A,BDKRB2,CNR2,SCT,PPP3CA,CTSL,CCR1,SLC25A13,ALB,TACR1,CASR,HRAS	
chlorpromazine	DB00477	Gastric ulcer	Gastric ulcer	C0038358	0.000100456621005	CXCL8,GHRL,SOS1,EDN1,FN1,ADM,HRH3,CCK,SST,ADRB3,OXT,OXTR,BDKRB2,GAST,BDKRB1,IAPP,CYP2D6	
