	Before matching			After matching		
  Gastroesophageal reflux disease	22.2	18.5	 0.09	20.6	23.5	-0.07
  Gastrointestinal hemorrhage	 4.7	 3.9	 0.04	 3.9	 5.1	-0.06
  Human immunodeficiency virus infection	 0.4	 0.4	 0.00	 0.5	 0.6	-0.02
  Hyperlipidemia	48.9	53.1	-0.08	49.4	47.8	 0.03
  Hypertensive disorder	50.7	65.4	-0.30	52.7	50.5	 0.04
  Lesion of liver	 1.1	 1.1	 0.00	 1.1	 1.7	-0.04
  Obesity	13.0	13.3	-0.01	13.4	13.5	-0.01
  Osteoarthritis	33.2	36.8	-0.08	33.9	35.1	-0.02
  Pneumonia	 5.2	 5.1	 0.00	 5.8	 5.7	 0.01
  Psoriasis	 1.8	 1.3	 0.04	 1.9	 1.3	 0.05
  Renal impairment	 8.6	10.1	-0.05	 9.3	 9.8	-0.02
  Rheumatoid arthritis	 2.8	 3.0	-0.01	 2.7	 3.6	-0.05
  Schizophrenia	 1.3	 0.3	 0.11	 1.4	 1.6	-0.01
  Ulcerative colitis	 0.6	 0.5	 0.02	 0.6	 0.7	-0.01
  Urinary tract infectious disease	16.7	13.4	 0.09	16.8	16.5	 0.01
  Viral hepatitis C	 1.2	 1.2	 0.00	 1.2	 1.3	-0.01
  Visual system disorder	34.5	30.9	 0.08	35.6	36.3	-0.02
Medical history: Cardiovascular disease	  	  	   	  	  	   
  Atrial fibrillation	 3.7	 4.2	-0.03	 3.9	 4.1	-0.01
  Cerebrovascular disease	10.3	10.9	-0.02	10.8	11.9	-0.03
  Coronary arteriosclerosis	12.7	15.9	-0.09	13.0	13.0	 0.00
  Heart disease	29.6	32.9	-0.07	29.9	29.3	 0.01
  Heart failure	 5.7	 7.7	-0.08	 5.8	 7.6	-0.07
  Ischemic heart disease	 8.2	10.6	-0.08	 8.5	 8.7	 0.00
  Peripheral vascular disease	16.9	19.2	-0.06	18.1	16.6	 0.04
  Pulmonary embolism	 0.6	 0.7	-0.02	 0.7	 0.9	-0.01
  Venous thrombosis	 2.9	 2.8	 0.01	 2.8	 2.8	 0.00
Medical history: Neoplasms	  	  	   	  	  	   
  Hematologic neoplasm	 1.3	 1.4	-0.01	 1.4	 1.7	-0.02
  Malignant lymphoma	 0.2	 0.5	-0.05	 0.3	 0.4	-0.02
  Malignant neoplasm of anorectum	 0.1	 0.2	-0.03	 0.1	 0.2	-0.03
  Malignant neoplastic disease	 9.7	 9.0	 0.02	 9.7	 9.7	 0.00
  Malignant tumor of breast	 2.0	 1.6	 0.03	 1.9	 2.3	-0.03
  Malignant tumor of colon	 0.6	 0.5	 0.01	 0.5	 0.6	-0.01
  Malignant tumor of lung	 0.4	 0.4	-0.01	 0.3	 0.6	-0.03
  Malignant tumor of urinary bladder	 0.4	 0.3	 0.01	 0.4	 0.3	 0.02
  Primary malignant neoplasm of prostate	 1.2	 1.1	 0.01	 1.3	 0.6	 0.07
Medication use	  	  	   	  	  	   
  Agents acting on the renin-angiotensin system	29.9	32.2	-0.05	30.9	29.0	 0.04
  Antibacterials for systemic use	69.9	59.4	 0.22	68.3	70.3	-0.04
  Antidepressants	68.3	39.3	 0.61	66.6	73.9	-0.16
  Antiepileptics	41.4	16.7	 0.56	35.2	41.2	-0.12
  Antiinflammatory and antirheumatic products	38.0	39.7	-0.03	38.2	40.1	-0.04
  Antineoplastic agents	 2.3	 2.4	-0.01	 2.3	 3.3	-0.06
  Antipsoriatics	 0.9	 0.9	 0.01	 0.9	 1.1	-0.03
  Antithrombotic agents	37.3	32.5	 0.10	36.2	38.3	-0.04
  Beta blocking agents	32.5	33.8	-0.03	33.4	32.3	 0.02
  Calcium channel blockers	17.2	29.5	-0.29	18.7	17.2	 0.04
  Diuretics	30.4	39.7	-0.20	32.0	29.9	 0.05
  Drugs for acid related disorders	36.6	30.4	 0.13	35.0	38.3	-0.07
  Drugs for obstructive airway diseases	33.2	26.7	 0.14	32.1	34.2	-0.04
  Drugs used in diabetes	14.9	26.5	-0.29	16.7	14.9	 0.05
  Immunosuppressants	 4.4	 3.7	 0.04	 4.3	 5.4	-0.05
  Lipid modifying agents	39.2	46.0	-0.14	39.9	39.7	 0.00
  Opioids	32.4	26.6	 0.13	31.9	32.7	-0.02
  Psycholeptics	61.5	36.6	 0.51	57.6	63.4	-0.12
  Psychostimulants, agents used for adhd and nootropics	33.6	18.1	 0.36	30.4	33.8	-0.07
