Predicted Cotherapy,Relationship,dme,Drugs with labeled DME,DME pathway intermediate,Intermediate node count,PMID,Notes
Plasmin,Prevents?,Edema,Olmesartan,EDNRA,6,29962211,Low levels of plasmin associated with edema
Plasmin,Prevents?,Edema,Desmopressin,EDNRA,6,29962211,Low levels of plasmin associated with edema
Plasmin,Prevents?,Edema,Carvedilol,EDNRA,6,29962211,Low levels of plasmin associated with edema
Plasmin,Prevents?,Edema,Irbesartan,EDNRA,6,29962211,Low levels of plasmin associated with edema
Pseudoephedrine,Prevents,Edema,Vandetanib,IL2,1,28347584,
Vitamin c,Prevents,Edema,Carvedilol,EGLN1,2,26612341,
Vitamin c,Prevents,Edema,Carvedilol,EGLN1,2,26266908,
Vitamin c,Prevents,Edema,Carvedilol,EGLN1,2,23716886,
Sucralfate,Prevents,Gastric Ulcer,Lidocaine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Nilotinib,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Thalidomide,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Caffeine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Atropine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Ibuprofen,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Hyoscyamine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Clozapine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Paroxetine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Pseudoephedrine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Diphenhydramine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Scopolamine,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Imatinib,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Cabergoline,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Metoprolol,"EGF,FGF2",13|5,27739140,
Sucralfate,Prevents,Gastric Ulcer,Lidocaine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Nilotinib,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Thalidomide,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Caffeine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Atropine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Ibuprofen,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Hyoscyamine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Clozapine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Paroxetine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Pseudoephedrine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Diphenhydramine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Scopolamine,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Imatinib,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Cabergoline,"EGF,FGF2",13|5,25521744,
Sucralfate,Prevents,Gastric Ulcer,Metoprolol,"EGF,FGF2",13|5,25521744,
Coagulation factor vii human,Prevents,Hemorrhage,Quinine,F9,1,29517971,
Coagulation factor vii human,Prevents,Hemorrhage,Quinine,F9,1,29723892,
Coagulation factor vii human,Prevents,Hemorrhage,Quinine,F9,1,29884487,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ceftriaxone,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Lauric Acid,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Sevoflurane,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tacrolimus,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Auranofin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Bismuth Subsalicylate,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Salicylic acid,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Piroxicam,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cephalexin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Clonazepam,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Heparin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fondaparinux sodium,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotaxime,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Flurbiprofen,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fenoprofen,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotetan,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methyltestosterone,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Naproxen,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Diflunisal,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vandetanib,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Desflurane,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Acitretin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefazolin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ketoprofen,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Edoxaban,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Prednisone,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Rivaroxaban,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ampicillin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Enoxaparin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Oxymetholone,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methotrexate,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Hyaluronidase,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vancomycin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fosphenytoin,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tetracycline,F7,44,30317158,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ceftriaxone,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Lauric Acid,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Sevoflurane,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tacrolimus,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Auranofin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Bismuth Subsalicylate,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Salicylic acid,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Piroxicam,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cephalexin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Clonazepam,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Heparin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fondaparinux sodium,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotaxime,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Flurbiprofen,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fenoprofen,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotetan,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methyltestosterone,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Naproxen,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Diflunisal,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vandetanib,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Desflurane,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Acitretin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefazolin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ketoprofen,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Edoxaban,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Prednisone,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Rivaroxaban,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ampicillin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Enoxaparin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Oxymetholone,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methotrexate,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Hyaluronidase,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vancomycin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fosphenytoin,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tetracycline,F7,44,29804265,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ceftriaxone,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Lauric Acid,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Sevoflurane,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tacrolimus,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Auranofin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Bismuth Subsalicylate,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Salicylic acid,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Piroxicam,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cephalexin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Clonazepam,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Heparin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fondaparinux sodium,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotaxime,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Flurbiprofen,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fenoprofen,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefotetan,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methyltestosterone,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Naproxen,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Diflunisal,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vandetanib,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Desflurane,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Acitretin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Cefazolin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ketoprofen,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Edoxaban,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Prednisone,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Rivaroxaban,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Ampicillin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Enoxaparin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Oxymetholone,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Methotrexate,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Hyaluronidase,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Vancomycin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Fosphenytoin,F7,44,30426948,
Coagulation factor viia recombinant human,Prevents,Hemorrhage,Tetracycline,F7,44,30426948,
Dexamethasone,Prevents,Hemorrhage,Olanzapine,ANXA1,4,30006635,nanoparticle formulation
Dexamethasone,Prevents,Hemorrhage,Aripiprazole,ANXA1,4,30006635,nanoparticle formulation
Dexamethasone,Prevents,Hemorrhage,Quetiapine,ANXA1,4,30006635,nanoparticle formulation
Dexamethasone,Prevents,Hemorrhage,Ketoprofen,ANXA1,4,30006635,nanoparticle formulation
Dexamethasone,Prevents,Hemorrhage,Olanzapine,ANXA1,4,27333620,When used in combo with recombinant human thrombopoietin
Dexamethasone,Prevents,Hemorrhage,Aripiprazole,ANXA1,4,27333620,When used in combo with recombinant human thrombopoietin
Dexamethasone,Prevents,Hemorrhage,Quetiapine,ANXA1,4,27333620,When used in combo with recombinant human thrombopoietin
Dexamethasone,Prevents,Hemorrhage,Ketoprofen,ANXA1,4,27333620,When used in combo with recombinant human thrombopoietin
Dexamethasone,Prevents,Hemorrhage,Olanzapine,ANXA1,4,24342001,"Compared to LPS, improved bleeding in lung injury patients."
Dexamethasone,Prevents,Hemorrhage,Aripiprazole,ANXA1,4,24342001,"Compared to LPS, improved bleeding in lung injury patients."
Dexamethasone,Prevents,Hemorrhage,Quetiapine,ANXA1,4,24342001,"Compared to LPS, improved bleeding in lung injury patients."
Dexamethasone,Prevents,Hemorrhage,Ketoprofen,ANXA1,4,24342001,"Compared to LPS, improved bleeding in lung injury patients."
Ketamine,Prevents,Hemorrhage,Epinephrine,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Risperidone,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Phenylephrine,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Bivalirudin,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Quetiapine,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Aripiprazole,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Olanzapine,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Goserelin,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Ketamine,Prevents,Hemorrhage,Carvedilol,"OPRD1,TACR1,OPRK1",3|9|3,24979504,Ketamine reduced hemmorhage in an actue lung injury model
Low-dose aspirin,Prevents,Hemorrhage,Bromfenac,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Meloxicam,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Mefenamic acid,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Ketoprofen,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Tolmetin,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Thalidomide,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Etanercept,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Nabumetone,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Fenoprofen,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Auranofin,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Meclofenamic acid,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
Low-dose aspirin,Prevents,Hemorrhage,Piroxicam,"TP53,NFKBIA",12|1,30405096,low dose aspirin is part of a pragmatic approach to managing bleeding in myeloproliferative disorders
